id,query,listing,title,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
73,affordable houses in  Limbe Mile 2,26,"1 bedroom room for rent  |  Mile 2, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%202/Limbe/single-room-to-let-3944?locale=en,Single Room,1.0,1.0,Mile 2, Limbe,35000.0,per month,35,4
74,1 bedroom house in Mile 4 Limbe,13,"1 bedroom room for rent  |  Mile 4, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%204/Limbe/single-room-to-let-3974?locale=en,Single Room,1.0,1.0,Mile 4, Limbe,30000.0,per month,30,6
75,affordable houses in  Limbe Mile 2 GHS,29,"1 bedroom room for rent  |  Mile 2 GHS, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%202%20GHS/Limbe/single-room-to-let-3940?locale=fr,Single Room,1.0,1.0,Mile 2 GHS, Limbe,40000.0,per month,40,5
76,affordable houses in  Limbe Mile 2 GHS,30,"1 bedroom room for rent  |  Mile 2 GHS, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%202%20GHS/Limbe/single-room-to-let-3936?locale=fr,Single Room,1.0,1.0,Mile 2 GHS, Limbe,35000.0,per month,35,5
77,2 bedroom house in Sandpit Buea,41,"2 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3916?locale=en,Apartment,2.0,2.0,Sandpit, Buea,80000.0,per month,80,6
78,2 bedroom house in Sandpit Buea,47,"2 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3906?locale=en,Apartment,2.0,2.0,Sandpit, Buea,110000.0,per month,110,8
79,1 bedroom house in Mayor street  Buea,37,"1 bedroom room for rent  |  Mayor street , Buea, Cameroon",https://digitalrenter.com/en/single%20room/Mayor%20street%20/Buea/single-room-to-let-3928?locale=en,Single Room,1.0,1.0,Mayor street , Buea,35000.0,per month,35,1
80,1 bedroom house in Mayor street  Buea,39,"1 bedroom room for rent  |  Mayor street , Buea, Cameroon",https://digitalrenter.com/en/single%20room/Mayor%20street%20/Buea/single-room-to-let-3924?locale=en,Single Room,1.0,1.0,Mayor street , Buea,35000.0,per month,35,1
81,cheap house in  Buea,1,"1 bedroom for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3309?locale=en,Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,4
82,cheap house in  Buea,3,"1 bedroom toguest house to let   |  Mile 17, Buea, Cameroon",https://digitalrenter.com/en/guest%20house/Mile%2017/Buea/guest-house-to-let-1701?locale=en,Guest house,1.0,1.0,Mile 17, Buea,25000.0,As from,25,20
83,cheap house in  Buea,25,"1 bedroom room for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.com/en/single%20room/Great%20soppo/Buea/single-room-to-let-3951?locale=fr,Single Room,1.0,1.0,Great soppo, Buea,35000.0,per month,35,8
84,cheap house in  Buea,37,"1 bedroom room for rent  |  Mayor street , Buea, Cameroon",https://digitalrenter.com/en/single%20room/Mayor%20street%20/Buea/single-room-to-let-3928?locale=en,Single Room,1.0,1.0,Mayor street , Buea,35000.0,per month,35,1
85,cheap house in  Buea,39,"1 bedroom room for rent  |  Mayor street , Buea, Cameroon",https://digitalrenter.com/en/single%20room/Mayor%20street%20/Buea/single-room-to-let-3924?locale=en,Single Room,1.0,1.0,Mayor street , Buea,35000.0,per month,35,1
86,cheap house in  Buea,40,"1 bedroom bedroom studio for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.com/en/studio/Sandpit/Buea/studio-to-let-3918?locale=en,Studio,1.0,1.0,Sandpit, Buea,50000.0,per month,50,4
87,cheap house in  Buea,42,"1 bedroom bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3914?locale=en,Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,5
88,houses in  Yaounde,20,"1 bedroom toguest house for sale   |  Efoulan , Yaounde, Cameroon",https://digitalrenter.com/en/guest%20house/Efoulan%20/Yaounde/guest-house-for-sale-3962?locale=en,Guest house,1.0,1.0,Efoulan , Yaounde,80000000.0,As from,80,10
89,houses in  Yaounde,23,"3 bedroom bedrooms apartment for rent  |  Odza, Yaounde, Cameroon",https://digitalrenter.com/en/apartment/Odza/Yaounde/apartment-to-let-3955?locale=en,Apartment,3.0,2.0,Odza, Yaounde,250000.0,per month,250,7
90,2 bedroom house in Sokolo Limbe,34,"2 bedroom bedrooms apartment for rent  |  Sokolo, Limbe, Cameroon",https://digitalrenter.com/en/apartment/Sokolo/Limbe/apartment-to-let-3931?locale=en,Apartment,2.0,2.0,Sokolo, Limbe,150000.0,per month,150,10
91,affordable houses in  Buea Great soppo,25,"1 bedroom room for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.com/en/single%20room/Great%20soppo/Buea/single-room-to-let-3951?locale=fr,Single Room,1.0,1.0,Great soppo, Buea,35000.0,per month,35,8
